source_id,parallax,parallax_error,phot_g_mean_mag
208066465136141568,0.1788,0.8267,20.394
208067422914449152,3.2234,0.2849,18.937
208080758789487488,0.2735,0.2611,19.171
208091479027495296,0.1671,0.0261,14.574
208094193446850944,0.767,0.1173,17.815
208099931519605888,0.9509,0.4676,19.834
208102160611051392,0.5582,0.2329,18.834
208109311731604096,0.3028,0.0543,16.095
208116424197373824,-0.0503,0.3015,19.035
208126079282515200,2.1567,1.2595,20.61
208136520347453440,0.1709,0.5914,20.273
208143671470629120,0.4407,0.0325,15.496
208155040246855680,0.2672,0.1488,18.222
208165799141167872,0.3177,0.0789,17.175
208185143673781760,0.6409,0.0393,15.43
208199501749640448,0.23,0.5447,20.154
208219331613155840,0.8638,0.1932,17.122
208219331613156096,0.2097,0.2237,18.94
208221698137315328,-0.3546,0.166,18.138
208268186864433536,0.2322,0.0946,17.56
208282244293526784,0.2564,0.7373,20.457
208282617954742784,0.4762,0.3448,19.569
208417174988198656,0.9369,0.0518,16.257
208420301724414848,0.835,0.0594,16.682
208430025526073984,-0.2391,0.5283,19.788
208462358042558592,0.5157,1.6599,20.643
208473868554541696,-0.354,0.6352,20.241
208474482734386688,0.2148,0.167,18.58
208475483461961344,-1.118,0.621,20.19
208477373247711744,0.4215,0.8336,20.597
208479640989531392,0.4432,0.5536,19.852
208481290260060416,0.0736,0.0688,16.918
208483416264596992,-0.3959,0.2391,18.954
208484996816337152,0.7085,0.0803,16.868
208488059126185600,-0.6137,0.5701,20.012
208516715149984512,0.2887,0.5042,19.799
208528500540265088,0.2534,0.2151,18.638
208542755534321024,1.3588,0.4362,19.523
208543751966436864,-0.0945,0.2829,19.22
208549906653257984,0.2017,0.4466,19.801
208553647570289024,-0.046,0.3583,19.326
208558629732313472,0.344,0.3973,19.683
208560317656233344,-0.1509,0.1731,17.774
208561863842378880,0.6654,0.3709,19.526
208562924700210304,-0.5444,0.4356,19.743
208564780125521280,0.4198,0.0863,17.082
208571480274718208,0.0788,0.2703,18.85
208578116000441344,0.4026,0.2176,18.625
208580040149350528,0.2894,0.0663,16.664
208584640057355264,0.2186,0.1472,18.254
208604225106522880,0.9637,0.5562,19.991
208611268852002560,1.5324,0.0138,12.446
208614262448508416,-0.1596,0.384,19.152
208624188112973184,0.3207,0.3774,19.547
208628968414730752,0.5331,0.9015,20.46
208637038655548288,0.4953,0.5476,19.959
208658341695229184,0.4449,0.2277,18.985
208664805623242368,1.3996,0.0162,13.986
208668134220717952,0.4122,0.1573,18.473
208670303181343488,0.1114,0.0991,17.712
208671196530060800,2.2763,0.9777,20.17
208677278205658880,0.0557,1.7033,20.665
208684425035837696,0.059,0.8234,20.337
208684699909148544,0.3076,0.7577,20.256
208691503140072832,0.624,0.2248,16.716
208708339409939072,0.1016,1.5797,20.634
208709267124431744,1.031,0.1262,16.442
208710366633592832,-0.1736,1.4451,20.636
208723728275529728,0.4235,0.0786,17.206
208729569431337856,0.7837,0.4339,19.809
208731154274487296,0.1886,0.4113,19.697
208733555163071488,0.1302,0.3956,19.872
208739602475050112,0.3877,0.1281,17.926
208740255309917184,0.2737,0.0549,16.332
208743455062781952,-1.3658,1.6441,20.682
208750395727970048,0.0413,0.4416,19.685
208775650134679808,0.813,0.1268,17.914
208780597936909440,1.0085,0.1504,15.456
208783857817109504,-0.0609,0.5021,19.97
208784304494524288,0.2269,0.2604,19.193
208797086318226688,0.0795,0.1651,18.288
208809387104537728,-0.3062,0.4158,19.59
208813235396023552,0.0933,0.5088,19.985
208834950748116608,0.084,0.1924,18.701
208846328119639680,0.4389,0.3152,19.363
208848664578439424,-0.141,0.3939,19.731
208856013270086272,0.5675,0.198,18.483
208856051925810176,0.315,0.4929,19.821
208859724121879296,0.0562,0.2215,18.766
208860789273814784,0.9588,0.6895,20.395
208881546851459584,0.5019,0.1558,18.114
208883982094784128,1.5657,0.4523,19.472
208885085902557312,0.6346,0.6472,20.075
208902231413715200,0.3551,0.0464,16.133
208902918606732160,0.1267,0.6927,20.353
208906251503097344,1.0574,0.0533,16.167
208914734061299840,0.3544,0.2786,19.05
208922847256696064,1.1373,0.1886,18.434
208923328290352512,0.1895,0.2979,19.226
208938927614057088,1.8926,0.0516,16.371
208943394377417088,0.5955,0.2325,18.418
208952907730729344,0.4363,0.0816,17.059
208965483395047808,2.3689,0.3404,19.327
208997304807986176,0.7088,1.7273,20.763
209015996505600256,1.1058,0.6872,20.297
209022589281189120,0.2762,0.1824,18.607
209038566557778432,0.4789,0.2442,18.972
209047431373040384,1.2569,0.3748,19.398
209047641823486080,-0.1003,0.2972,19.276
209062377856689536,0.4109,0.0725,16.727
209087941504120576,0.6522,0.4465,19.828
209121098649733760,0.3639,0.2408,18.933
209128829591018624,0.1831,0.3935,19.792
209149033116275584,0.1191,0.4815,19.782
209158756924935040,0.2158,0.2161,18.801
209164254480475776,0.3315,0.1356,18.104
209172054141022592,0.2686,0.5375,19.967
209206899213691648,-0.1131,0.3023,19.388
209236208068611328,-0.8922,1.1828,20.413
209243320537722624,0.4936,0.2137,18.654
209250639159197184,1.5223,1.3383,20.683
209254139557342720,1.578,0.1462,17.934
209259435253392000,0.3545,0.302,19.184
209259877633436288,1.4858,0.0553,16.438
209268055251409024,-0.1486,0.2815,19.451
209270804030635264,0.7907,0.2628,19.219
209272212779970176,-0.1045,0.2847,19.265
209274240004514176,0.2653,0.3119,19.441
209280802713750144,-0.2688,0.3221,19.535
209283688931789056,0.7044,0.1953,18.417
209295165086721792,0.9539,0.019,13.905
209304029897322240,0.4429,0.0867,17.037
209308329162613376,0.7523,0.5392,19.283
209318018607428096,0.2835,0.0797,17.125
209324821835422464,0.1676,0.0937,17.582
209340966614982784,0.5559,0.362,19.644
209347567982623232,0.4974,0.1296,17.962
